"","Kingdom","Phylum","Class","Order","Family","Genus","Species","COMMENT.on.genus","primary_lifestyle","Secondary_lifestyle","Comment_on_lifestyle_template","Endophytic_interaction_capability_template","Plant_pathogenic_capacity_template","Decay_substrate_template","Decay_type_template","Aquatic_habitat_template","Animal_biotrophic_capacity_template","Specific_hosts","Growth_form_template","Fruitbody_type_template","Hymenium_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template","primary_photobiont","secondary_photobiont","Decay_type","Fruitbody_type"
"OTU11","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella elongata","","soil_saprotroph","root-associated","","root-associated","root-associated","roots,soil","chitinolytic","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","none","none","","","","","chitinolytic","none"
"OTU12","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","contact","/russula-lactarius","","","","agaricoid"
"OTU13","Fungi","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU14","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU15","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Geastrum","Geastrum xerophilum","","litter_saprotroph","","","","","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","gasteroid","closed","","","","","","gasteroid"
"OTU16","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","","","plant_pathogen","litter_saprotroph","hypervariable,_saprotroph,_pathogen,damping-off_pathogen","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,roots,soil,animal_material","soft_rot","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","","","","","","","soft_rot",""
"OTU17","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","","","mycoparasite","foliar_endophyte","hypervariable","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,soil,fungal_material","soft_rot","","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","soft_rot","perithecium_(hymenium_hidden,_narrow_opening)"
"OTU18","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","","Candida","","","nectar/tap_saprotroph","","","","","sugar-rich_substrates","","partly_aquatic","animal-associated/opportunistic_human_parasite","","yeast","none","none","","","","","","none"
"OTU19","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/cortinarius","","","","agaricoid"
"OTU20","Fungi","Ascomycota","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU21","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita luteolovelata","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","contact","/amanita","","","","agaricoid"
"OTU22","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/cortinarius","","","","agaricoid"
"OTU23","Fungi","Ascomycota","Leotiomycetes","Helotiales","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU24","Fungi","Ascomycota","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU25","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Tylosporaceae","Amphinema","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","corticioid","smooth","medium-distance_fringe","/amphinema-tylospora","","","","corticioid"
"OTU26","Fungi","Basidiomycota","Microbotryomycetes","Leucosporidiales","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU27","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU28","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/cortinarius","","","","agaricoid"
"OTU29","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/cortinarius","","","","agaricoid"
"OTU30","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Rickenellaceae","Rickenella","","","plant_pathogen","bryophilous","root-associated_R._minuta","","leaf/fruit/seed_pathogen","leaf/fruit/seed","","non-aquatic","","mosses","filamentous_mycelium","agaricoid","gills","","","","","","agaricoid"
"OTU31","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/tricholoma","","","","agaricoid"
"OTU32","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma kermandii","","soil_saprotroph","unspecified_symbiotroph","CHEGD_symbiotrophs,ectomycorrhizal_ca_10%_of_species","root-associated","root-associated","roots,soil","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_smooth","/entoloma","","","","agaricoid"
"OTU33","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","","","plant_pathogen","litter_saprotroph","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","soft_rot","perithecium_(hymenium_hidden,_narrow_opening)"
"OTU34","Fungi","Ascomycota","Leotiomycetes","Helotiales","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU35","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavaria","Clavaria redoleoalii","","soil_saprotroph","unspecified_symbiotroph","CHEGD_symbiotrophs","root-associated","root-associated","roots,soil","","non-aquatic","","","filamentous_mycelium","clavarioid","smooth","","","","","","clavarioid"
"OTU36","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Clavulinaceae","Clavulina","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","clavarioid","smooth","contact","/clavulina","","","","clavarioid"
"OTU37","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","contact","/russula-lactarius","","","","agaricoid"
"OTU38","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","","","unspecified_saprotroph","foliar_endophyte","toxin-producing,animal_parasite_some_species,mycoparasite_some_species","foliar_endophyte","","soil","mold","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","","","","","","","mold",""
"OTU39","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe fulvilubrica","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","short-distance_delicate","/inocybe","","","","agaricoid"
"OTU40","Fungi","Basidiomycota","Agaricomycetes","Atheliales","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU41","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella alpina","","soil_saprotroph","root-associated","","root-associated","root-associated","roots,soil","chitinolytic","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","none","none","","","","","chitinolytic","none"
"OTU42","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU43","Fungi","Basidiomycota","Microbotryomycetes","","Chrysozymaceae","Udeniozyma","","","unspecified","","","","","","","freshwater","","","yeast","none","none","","","","","","none"
"OTU44","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/cortinarius","","","","agaricoid"
"OTU45","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","short-distance_delicate","/inocybe","","","","agaricoid"
"OTU46","Fungi","Rozellomycota","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU47","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU48","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","short-distance_delicate","/inocybe","","","","agaricoid"
"OTU49","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycena","","","litter_saprotroph","root-associated","wood_saprotroph_many_species","root-associated","leaf/fruit/seed_pathogen","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","","","","","","agaricoid"
"OTU50","Fungi","Ascomycota","Leotiomycetes","Helotiales","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU51","Fungi","Ascomycota","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU52","Fungi","Basidiomycota","Agaricomycetes","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU53","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU54","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","Pisolithus marmoratus","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","gasteroid","closed","long-distance","/pisolithus-scleroderma","","","","gasteroid"
"OTU55","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","contact","/russula-lactarius","","","","agaricoid"
"OTU56","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","","","soil_saprotroph","root-associated","","root-associated","root-associated","roots,soil","chitinolytic","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","none","none","","","","","chitinolytic","none"
"OTU57","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","","Nadsonia","Nadsonia starkeyi-henricii","","nectar/tap_saprotroph","","","","","sugar-rich_substrates","","non-aquatic","arthropod-associated","","yeast","none","none","","","","","","none"
"OTU58","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU59","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","contact","/russula-lactarius","","","","agaricoid"
"OTU60","Fungi","Ascomycota","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU61","Fungi","Ascomycota","Leotiomycetes","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU62","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe eburnea","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","short-distance_delicate","/inocybe","","","","agaricoid"
"OTU63","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/cortinarius","","","","agaricoid"
"OTU64","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudeurotium","Pseudeurotium bakeri","","dung_saprotroph","soil_saprotroph","","","","soil,dung","","partly_aquatic","","","filamentous_mycelium","cleistothecium_(closed,_spherical)","closed","","","","","","cleistothecium_(closed,_spherical)"
"OTU65","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Ruhlandiella","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","gasteroid-hypogeous","closed","short-distance_coarse","/terfezia-peziza_depressa","","","","gasteroid-hypogeous"
"OTU66","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactifluus","Lactifluus clarkeae","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_smooth","/russula-lactarius","","","","agaricoid"
"OTU67","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/cortinarius","","","","agaricoid"
"OTU68","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/cortinarius","","","","agaricoid"
"OTU69","Fungi","Ascomycota","Leotiomycetes","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU70","Fungi","Ascomycota","Leotiomycetes","Helotiales","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU71","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU72","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/cortinarius","","","","agaricoid"
"OTU73","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/cortinarius","","","","agaricoid"
"OTU74","Fungi","Ascomycota","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU75","Fungi","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU76","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","","","soil_saprotroph","root-associated","","root-associated","root-associated","roots,soil","","non-aquatic","","","filamentous_mycelium","none","none","","","","","","none"
"OTU77","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU78","Fungi","Mucoromycota","Umbelopsidomycetes","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU79","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","corticioid","smooth","short-distance_delicate","/sebacina","","","","corticioid"
"OTU80","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","None","none","short-distance_coarse","/cenococcum","","","","None"
"OTU81","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU82","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","","","animal_parasite","animal_decomposer","","","","animal_material","","partly_aquatic","animal_parasite","","filamentous_mycelium","","","","","","","",""
"OTU83","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","corticioid","smooth","short-distance_delicate","/sebacina","","","","corticioid"
"OTU84","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/cortinarius","","","","agaricoid"
"OTU85","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/cortinarius","","","","agaricoid"
"OTU87","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","","","soil_saprotroph","root-associated","","root-associated","root-associated","roots,soil","mold","non-aquatic","","","filamentous_mycelium","none","none","","","","","mold","none"
"OTU88","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU89","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","Clonostachys candelabrum","","wood_saprotroph","plant_pathogen","mycoparasite_and_litter_saprotroph_some_species","","leaf/fruit/seed_pathogen","wood,leaf/fruit/seed,fungal_material,animal_material","","non-aquatic","nematophagous","","filamentous_mycelium","","","","","","","",""
"OTU90","Fungi","Ascomycota","Leotiomycetes","Helotiales","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU92","Fungi","Basidiomycota","Agaricomycetes","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU93","Fungi","Ascomycota","Dothideomycetes","Dothideales","Aureobasidiaceae","Aureobasidium","Aureobasidium leucospermi","","sooty_mold","litter_saprotroph","hyperviariable","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,roots,animal_material,sugar-rich_substrates","","partly_aquatic","animal_parasite","","dimorphic_yeast","","","","","","","",""
"OTU94","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","short-distance_delicate","/inocybe","","","","agaricoid"
"OTU95","Fungi","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU96","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Geomyces","","","soil_saprotroph","","","","","soil","","partly_aquatic","","","filamentous_mycelium","cleistothecium_(closed,_spherical)","closed","","","","","","cleistothecium_(closed,_spherical)"
"OTU97","Fungi","Ascomycota","Archaeorhizomycetes","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU98","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","medium-distance_fringe","/cortinarius","","","","agaricoid"
"OTU99","Fungi","Rozellomycota","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU100","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","","","soil_saprotroph","root_endophyte","ericoid_mycorrhizal_O._maius","root_endophyte","root-associated","soil","","partly_aquatic","","","filamentous_mycelium","","","","","","","",""
"OTU101","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Ruhlandiella","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","gasteroid-hypogeous","closed","short-distance_coarse","/terfezia-peziza_depressa","","","","gasteroid-hypogeous"
"OTU102","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","","","soil_saprotroph","root-associated","","root-associated","root-associated","roots,soil","","non-aquatic","","","filamentous_mycelium","none","none","","","","","","none"
"OTU103","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","short-distance_delicate","/inocybe","","","","agaricoid"
"OTU104","Fungi","Ascomycota","Archaeorhizomycetes","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU105","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Hodophilus","","","soil_saprotroph","unspecified_symbiotroph","CHEGD_symbiotrophs","root-associated","root-associated","roots,soil","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","","","","","","agaricoid"
"OTU106","Fungi","Ascomycota","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU107","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Echria","","","dung_saprotroph","","","","","dung","","partly_freshwater_(partly_non-aquatic)","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)"
"OTU108","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","Umbelopsis autotrophica","","soil_saprotroph","root-associated","","root-associated","root-associated","roots,soil","mold","non-aquatic","","","filamentous_mycelium","none","none","","","","","mold","none"
"OTU109","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU110","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Holocotylon","Holocotylon brandegeeanum","","soil_saprotroph","","","","","soil","","non-aquatic","","","filamentous_mycelium","gasteroid","closed","","","","","","gasteroid"
"OTU111","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma terricola","","soil_saprotroph","epiphyte","","","","soil","","partly_aquatic","","","yeast","none","none","","","","","","none"
"OTU112","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU113","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU114","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
