"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU2296","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU2297","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae","g__Hygrocybe",NA
"OTU2299","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU2303","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"OTU2305","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU2311","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU2313","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU2315","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU2320","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae",NA,NA
"OTU2321","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Boletaceae","g__Xerocomus",NA
"OTU2322","k__Fungi","p__Chytridiomycota","c__Chytridiomycetes",NA,NA,NA,NA
"OTU2323","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavulinopsis","s__Clavulinopsis corallinorosacea"
"OTU2330","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae",NA,NA
"OTU2332","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU2335","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU2336","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU2337","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"OTU2340","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU2341","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Lapidomyces",NA
"OTU2345","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Phacidiales","f__Phacidiaceae","g__Phacidium","s__Phacidium grevilleae"
"OTU2346","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hysterangiales","f__Hysterangiaceae","g__Hysterangium",NA
"OTU2348","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales",NA,NA,NA
"OTU2350","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizoglomus",NA
"OTU2352","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"OTU2354","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Coniophoraceae","g__Coniophora","s__Coniophora arida"
"OTU2355","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU2356","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae",NA,NA
"OTU2357","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU2360","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Leucoagaricus",NA
"OTU2361","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Nidulariopsis",NA
"OTU2363","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Sagenomella","s__Sagenomella griseoviridis"
"OTU2365","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"OTU2367","k__Fungi","p__Ascomycota","c__Eurotiomycetes",NA,NA,NA,NA
"OTU2370","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"OTU2372","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Descomyces",NA
"OTU2375","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe pallidiflavipes"
"OTU2377","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU2385","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae",NA,NA
"OTU2387","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA
"OTU2388","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU2390","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales",NA,NA,NA
"OTU2392","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU2393","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__","g__Cadophora",NA
"OTU2394","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Tremellodendropsidales",NA,NA,NA
"OTU2395","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Claussenomyces",NA
"OTU2398","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU2399","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU2401","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU2403","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"OTU2405","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU2408","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU2409","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hysterangiales",NA,NA,NA
"OTU2410","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Schizothecium","s__Schizothecium glutinans"
"OTU2411","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU2412","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Rhodocollybia","s__Rhodocollybia dotae"
"OTU2414","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae",NA,NA
"OTU2416","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU2417","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe trachysperma"
"OTU2418","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU2419","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metarhizium",NA
"OTU2421","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__Exophiala opportunistica"
"OTU2423","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae",NA,NA
"OTU2424","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU2427","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"OTU2428","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Tulostoma",NA
"OTU2430","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Lophiostoma",NA
"OTU2431","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","g__Geminibasidium",NA
"OTU2432","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"OTU2434","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Trematosphaeriaceae","g__Trematosphaeria",NA
"OTU2435","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Trichosporon",NA
"OTU2438","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU2440","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Gomphales","f__Gomphaceae","g__Austrogautieria","s__Austrogautieria macrospora"
"OTU2443","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales",NA,NA,NA
"OTU2445","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"OTU2447","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Dothidea","s__Dothidea eucalypti"
"OTU2448","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU2450","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU2452","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Porpoloma",NA
"OTU2454","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Volutella",NA
"OTU2455","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU2457","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU2459","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora",NA
"OTU2460","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma",NA
"OTU2461","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU2463","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Boletaceae",NA,NA
"OTU2465","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU2466","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU2469","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"OTU2470","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe leptospermi"
"OTU2473","k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA
"OTU2474","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU2477","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavaria","s__Clavaria redoleoalii"
"OTU2482","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","g__Geminibasidium",NA
"OTU2488","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU2489","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum","s__Geastrum arenarium"
"OTU2490","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Verticillium","s__Verticillium klebahnii"
"OTU2491","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Psoraceae","g__Psora","s__Psora decipiens"
"OTU2493","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"OTU2496","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU2499","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Helminthosphaeriaceae","g__Spadicoides",NA
"OTU2500","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"OTU2503","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales",NA,NA,NA
"OTU2511","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Sugiyamaella",NA
"OTU2514","k__Fungi","p__Ascomycota","c__Lecanoromycetes",NA,NA,NA,NA
"OTU2517","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU2518","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU2520","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae",NA,NA
"OTU2522","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__","g__Cryptocoryneum","s__Cryptocoryneum pseudorilstonei"
"OTU2523","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"OTU2524","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU2525","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU2526","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU2527","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Clavulinaceae",NA,NA
"OTU2529","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Amphosoma","s__Amphosoma persooniae"
"OTU2530","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae",NA,NA
"OTU2532","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,NA,NA
