"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU782","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes",NA,NA,NA,NA
"OTU783","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__","g__Amarenomyces","s__Amarenomyces ammophilae"
"OTU784","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU785","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU786","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Clavulinaceae",NA,NA
"OTU787","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae",NA,NA
"OTU788","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA
"OTU790","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus",NA
"OTU792","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae",NA,NA
"OTU793","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales",NA,NA,NA
"OTU794","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU795","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU796","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Cairneyella","s__Cairneyella variabilis"
"OTU797","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Scutellinia",NA
"OTU798","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma",NA
"OTU799","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Westerdykella",NA
"OTU800","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae",NA,NA
"OTU801","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU802","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","g__Geminibasidium",NA
"OTU803","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora",NA
"OTU804","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"OTU805","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU806","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae",NA,NA
"OTU807","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU809","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Agaricus",NA
"OTU810","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Rachicladosporium",NA
"OTU813","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU814","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae",NA,NA
"OTU815","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae",NA,NA
"OTU816","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"OTU817","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU818","k__Fungi","p__Ascomycota","c__Lecanoromycetes",NA,NA,NA,NA
"OTU819","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Lepiota",NA
"OTU820","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales",NA,NA,NA
"OTU821","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU822","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hydnangiaceae","g__Laccaria",NA
"OTU823","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae",NA,NA
"OTU824","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU825","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavaria","s__Clavaria fumosa"
"OTU826","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Monosporascus","s__Monosporascus cannonballus"
"OTU827","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU828","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU829","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe alloumbrina"
"OTU830","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae",NA,NA
"OTU831","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae",NA,NA
"OTU833","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Westerdykella","s__Westerdykella purpurea"
"OTU834","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes",NA,NA,NA,NA
"OTU836","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"OTU837","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae","g__Hygrocybe","s__Hygrocybe mucronella"
"OTU838","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Leucoagaricus",NA
"OTU839","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae",NA,NA
"OTU840","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hysterangiales","f__Mesophelliaceae","g__Mesophellia","s__Mesophellia glauca"
"OTU841","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__","g__Leptodontidium",NA
"OTU843","k__Fungi","p__Mucoromycota",NA,NA,NA,NA,NA
"OTU844","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"OTU845","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU846","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella horticola"
"OTU847","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"OTU850","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__","g__Malbranchea","s__Malbranchea flocciformis"
"OTU851","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum",NA
"OTU852","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"OTU853","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU854","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes",NA,NA,NA,NA
"OTU855","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"OTU856","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Hyphodermataceae","g__Hyphoderma",NA
"OTU857","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"OTU858","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Phaeohelotium",NA
"OTU859","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU860","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU862","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"OTU863","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU864","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA
"OTU865","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU866","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__","g__Madurella","s__Madurella fahalii"
"OTU867","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Amanitaceae","g__Amanita",NA
"OTU868","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Kamienskia","s__Kamienskia bistrata"
"OTU870","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU871","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Mycena",NA
"OTU872","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Clitopilus",NA
"OTU873","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Agaricus","s__Agaricus eburneocanus"
"OTU874","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU875","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lycoperdaceae","g__Lycoperdon","s__Lycoperdon scabrum"
"OTU877","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neostagonospora",NA
"OTU878","k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA
"OTU879","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella oligospora"
"OTU880","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Gigasporales","f__Gigasporaceae","g__Scutellospora",NA
"OTU881","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Thelonectria",NA
"OTU882","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae",NA,NA
"OTU883","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Chaetomellaceae","g__Pilidium","s__Pilidium anglicum"
"OTU885","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Lactifluus",NA
"OTU886","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU887","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"OTU888","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU889","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU890","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes",NA,NA,NA,NA
"OTU891","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae","g__Gliophorus","s__Gliophorus irrigatus"
"OTU892","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU893","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA
"OTU894","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora",NA
"OTU895","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe bicornis f bicornis"
"OTU896","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU897","k__Fungi","p__Blastocladiomycota","c__Blastocladiomycetes","o__Blastocladiales",NA,NA,NA
"OTU898","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU900","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenaceae","g__Auxarthron",NA
"OTU901","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__","g__Chrysosporium","s__Chrysosporium pseudomerdarium"
"OTU902","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU905","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales",NA,NA,NA
"OTU906","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU908","k__Fungi","p__Basidiomycota","c__Tritirachiomycetes","o__Tritirachiales","f__Tritirachiaceae","g__Tritirachium",NA
"OTU909","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales",NA,NA,NA
"OTU911","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU912","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU913","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Yamadazyma","s__Yamadazyma akitaensis"
"OTU914","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe rufobadia"
"OTU916","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Amanitaceae","g__Amanita","s__Amanita marmorata"
"OTU917","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"OTU918","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Ramicandelaber",NA
"OTU919","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU920","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"OTU921","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"OTU922","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA
"OTU923","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora",NA
"OTU924","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Ruhlandiella",NA
"OTU925","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"OTU927","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Clitopilus",NA
"OTU928","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Elaphomycetaceae","g__Elaphomyces",NA
"OTU929","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae","g__Botryotinia","s__Botryotinia ranunculi"
"OTU930","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU931","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"OTU932","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Hyphodermataceae","g__Hyphoderma",NA
"OTU933","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes",NA,NA,NA,NA
"OTU934","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Clavulinaceae",NA,NA
"OTU935","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU936","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces",NA
"OTU937","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales",NA,NA,NA
"OTU938","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Chaetomellaceae","g__Chaetomella","s__Chaetomella raphigera"
"OTU939","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,NA,NA
"OTU940","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU943","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia",NA
"OTU944","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales","f__Geoglossaceae","g__Trichoglossum",NA
"OTU945","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales",NA,NA,NA
"OTU946","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU948","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Sclerodermataceae","g__Scleroderma",NA
"OTU950","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"OTU951","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Sclerodermataceae","g__Scleroderma",NA
"OTU952","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora",NA
"OTU953","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Geomyces",NA
"OTU954","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae",NA,NA
"OTU955","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metarhizium","s__Metarhizium marquandii"
"OTU957","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Phoma",NA
"OTU958","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"OTU959","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA
"OTU961","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU962","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"OTU963","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU965","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Pseudopithomyces",NA
"OTU966","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU967","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU968","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__Naganishia antarctica"
"OTU969","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU970","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU971","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavulinopsis",NA
"OTU972","k__Fungi","p__Mortierellomycota",NA,NA,NA,NA,NA
"OTU973","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU974","k__Fungi","p__Mucoromycota",NA,NA,NA,NA,NA
"OTU977","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae",NA,NA
"OTU978","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU980","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU981","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe serrata"
"OTU982","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria lolii"
"OTU984","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU985","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"OTU987","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Marasmiaceae","g__Marasmius",NA
"OTU988","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cyphobasidiales",NA,NA,NA
"OTU989","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU990","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA
"OTU992","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Clavulinaceae","g__Clavulina",NA
"OTU995","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU996","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces","s__Talaromyces stellenboschiensis"
"OTU997","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"OTU998","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU999","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU1001","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales",NA,NA,NA
"OTU1002","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe",NA
"OTU1003","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU1004","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae",NA,NA
"OTU1006","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU1007","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Clitopilus",NA
"OTU1008","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU1009","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU1010","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA
"OTU1011","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Trechispora",NA
"OTU1012","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Tausonia","s__Tausonia pullulans"
"OTU1013","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Sebacina",NA
"OTU1014","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Tulostoma","s__Tulostoma pseudopulchellum"
"OTU1015","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum",NA
"OTU1016","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","g__Geminibasidium",NA
"OTU1017","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae",NA,NA
"OTU1018","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Sebacina","s__Sebacina incrustans"
"OTU1019","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU1021","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU1022","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU1023","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"OTU1024","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU1025","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU1026","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae",NA,NA
"OTU1027","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA
"OTU1029","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"OTU1031","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA
"OTU1032","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU1033","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU1034","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"OTU1035","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Boletaceae",NA,NA
"OTU1038","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Tremellodendropsidales",NA,NA,NA
"OTU1040","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Stephanosporaceae",NA,NA
"OTU1041","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,NA,NA
"OTU1042","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU1045","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae",NA,NA
"OTU1046","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Descomyces",NA
"OTU1048","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae","g__Gliophorus","s__Gliophorus irrigatus"
"OTU1049","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU1050","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"OTU1051","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU1052","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU1053","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU1054","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU1055","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Lactarius","s__Lactarius eucalypti"
"OTU1057","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae",NA,NA
"OTU1058","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales",NA,NA,NA
"OTU1059","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU1061","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Lactifluus",NA
"OTU1062","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces",NA
"OTU1063","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales",NA,NA,NA
"OTU1064","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Sclerodermataceae","g__Scleroderma",NA
"OTU1065","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU1066","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales",NA,NA,NA
"OTU1067","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU1068","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU1070","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe scissa"
"OTU1071","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU1072","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__","g__Parapyrenochaeta","s__Parapyrenochaeta acaciae"
