"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU672","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA,NA
"OTU674","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae",NA,NA
"OTU685","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Gp1",NA
"OTU700","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU705","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Gp1",NA
"OTU709","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella",NA
"OTU715","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU720","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU727","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Pseudonocardia",NA
"OTU747","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU752","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA
"OTU757","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU760","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Gp1",NA
"OTU768","Bacteria","Acidobacteria","Acidobacteria_Gp2","","","Gp2",NA
"OTU771","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU774","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU777","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU779","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU780","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU782","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Pseudonocardia",NA
"OTU785","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella",NA
"OTU786","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU789","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU797","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU798","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU801","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU803","Bacteria","Acidobacteria","Acidobacteria_Gp2","","","Gp2",NA
"OTU805","Bacteria","Acidobacteria","Acidobacteria_Gp2","","","Gp2",NA
"OTU806","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU813","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU817","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales",NA,NA,NA
"OTU819","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU827","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU849","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU851","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU855","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU856","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU857","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU862","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU864","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU865","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU867","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium",NA
"OTU868","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus",NA
"OTU871","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU872","Bacteria","","","","","",""
"OTU878","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU880","Bacteria","Acidobacteria","Acidobacteria_Gp2","","","Gp2",NA
"OTU881","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU882","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU885","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU887","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU890","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU891","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU909","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU924","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU925","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA
"OTU928","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU929","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella",NA
"OTU931","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU936","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU943","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Gp1",NA
"OTU953","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU960","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU970","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"OTU971","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU975","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU980","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU982","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Gp1",NA
"OTU985","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Roseiarcaceae","Roseiarcus",NA
"OTU994","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU995","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1004","Bacteria","Acidobacteria","Acidobacteria_Gp1",NA,NA,NA,NA
"OTU1008","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella",NA
"OTU1009","Bacteria","Acidobacteria","Acidobacteria_Gp1",NA,NA,NA,NA
"OTU1011","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1035","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae",NA,NA
"OTU1045","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1052","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Geodermatophilus",NA
"OTU1055","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA
"OTU1065","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU1067","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
